,year,month,value
0,2017,January,7.024561403508772
1,2017,February,6.906367041198502
2,2017,March,4.725225225225225
3,2017,April,2.3010752688172045
4,2017,May,1.7046413502109705
5,2017,June,1.2981132075471697
6,2017,July,1.198501872659176
7,2017,August,1.1466165413533835
8,2017,September,1.5020408163265306
9,2017,October,3.0901639344262297
10,2017,November,6.382838283828383
11,2017,December,6.948228882833788
12,2018,January,7.606060606060606
13,2018,February,7.332214765100671
14,2018,March,3.345360824742268
15,2018,April,2.1637426900584797
16,2018,May,1.1544715447154472
17,2018,June,1.951111111111111
18,2018,July,1.2588235294117647
19,2018,August,1.4319066147859922
20,2018,September,2.239669421487603
21,2018,October,2.264957264957265
22,2018,November,4.12
23,2018,December,5.4965753424657535
24,2019,January,5.543778801843318
25,2019,February,6.809523809523809
26,2019,March,3.024193548387097
27,2019,April,1.5046728971962617
28,2019,May,1.3333333333333333
29,2019,June,1.9036144578313252
30,2019,July,1.8241206030150754
31,2019,August,1.3697916666666667
32,2019,September,2.325301204819277
33,2019,October,1.7921348314606742
34,2019,November,4.028409090909091
35,2019,December,6.599056603773585
36,2020,January,6.770949720670391
37,2020,February,5.573770491803279
38,2020,March,3.1607142857142856
39,2020,April,1.509433962264151
40,2020,May,1.4690265486725664
41,2020,June,2.0839694656488548
42,2020,July,1.6235294117647059
43,2020,August,1.4808743169398908
44,2020,September,1.4172185430463575
45,2020,October,4.283653846153846
46,2020,November,4.757575757575758
47,2020,December,5.427807486631016
48,2021,January,5.294871794871795
49,2021,February,5.5212121212121215
50,2021,March,2.2773722627737225
51,2021,April,1.3237410071942446
52,2021,May,1.4563758389261745
53,2021,June,1.1277777777777778
54,2021,July,1.1326530612244898
55,2021,August,1.3407821229050279
56,2021,September,1.8571428571428572
57,2021,October,2.2914285714285714
58,2021,November,4.568181818181818
59,2021,December,8.012396694214877
