,year,month,value
0,2017,January,4.50597302504817
1,2017,February,6.03763643206624
2,2017,March,4.24183546920215
3,2017,April,2.6691498685363717
4,2017,May,1.8922132719601075
5,2017,June,1.5880527540729248
6,2017,July,1.114108640174991
7,2017,August,1.0990025858884374
8,2017,September,1.9191068814055636
9,2017,October,2.744114636642784
10,2017,November,4.649002289826627
11,2017,December,4.885166006701188
12,2018,January,5.175343456254519
13,2018,February,5.275848912628768
14,2018,March,2.8281677301732
15,2018,April,2.526247288503254
16,2018,May,1.1233174120712115
17,2018,June,1.778646851779429
18,2018,July,1.2205939066718088
19,2018,August,1.290161892901619
20,2018,September,2.6591962905718702
21,2018,October,2.498887240356083
22,2018,November,3.7208392603129443
23,2018,December,4.466949452103217
24,2019,January,3.6076109936575054
25,2019,February,5.488645920941968
26,2019,March,2.1627906976744184
27,2019,April,2.2211981566820276
28,2019,May,1.445684086905461
29,2019,June,1.2742123687281213
30,2019,July,1.5321937321937322
31,2019,August,1.3644646924829158
32,2019,September,2.541946308724832
33,2019,October,2.61295590636908
34,2019,November,2.601990049751244
35,2019,December,4.967792207792208
36,2020,January,6.022031166039763
37,2020,February,3.607290233837689
38,2020,March,2.4838709677419355
39,2020,April,1.595890410958904
40,2020,May,1.8097345132743363
41,2020,June,1.909716908951798
42,2020,July,1.4818417639429313
43,2020,August,1.5036789297658864
44,2020,September,1.7739541160593792
45,2020,October,2.71437125748503
46,2020,November,4.06258064516129
47,2020,December,4.712968299711815
48,2021,January,3.731888964116452
49,2021,February,4.174076865109269
50,2021,March,2.1248164464023493
51,2021,April,1.6464572680788896
52,2021,May,1.4954449894884372
53,2021,June,1.3985459352280238
54,2021,July,1.0441001191895114
55,2021,August,1.519642857142857
56,2021,September,2.3074644549763033
57,2021,October,3.1666666666666665
58,2021,November,4.333905088622069
59,2021,December,5.727578475336323
